company_id,investment_age,funding_round_code,funding_amount_mil,IPO,a,acquired,angel,b,c,d,e,f,merged,neeq,post-IPO,delisted,seed,stg_invse,num_investor
c:10359,67.0,acquired,731.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10279,124.0,acquired,168.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10279,99.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:10278,20.0,acquired,168.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10139,63.0,acquired,512.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10093,70.0,acquired,720.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10093,45.0,acquired,953.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10093,33.0,a,430.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10059,21.0,acquired,740.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10032,117.0,acquired,30355.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10032,105.0,post-IPO,65.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
c:10032,98.0,post-IPO,7930.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0
c:10032,73.0,merged,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
c:10032,58.0,IPO,1300.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:10032,55.0,e,325.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.0
c:10032,29.0,d,260.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
c:10032,21.0,c,162.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
c:10032,10.0,b,78.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
c:10032,-3.0,a,19.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:10027,122.0,acquired,312.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10027,116.0,f,1170.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
c:10027,109.0,e,3289.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
c:10027,81.0,d,130.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
c:10027,71.0,c,130.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
c:10027,62.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
c:10027,35.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:10027,32.0,angel,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
c:10022,35.0,acquired,218.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10022,23.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:10015,59.0,acquired,3800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:10015,56.0,f,300.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
c:10015,54.0,c,200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
c:10015,49.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
c:10015,45.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:9937,114.0,acquired,298.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9937,78.0,acquired,675.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9937,71.0,neeq,20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
c:9937,61.0,a,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9929,219.0,acquired,1060.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9929,160.0,a,72.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
c:9928,208.0,acquired,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9928,191.0,b,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
