company_id,age_at_news,pos_sentiment,neg_sentiment
c:49027,74,0.8901,0.1099
c:26482,57,0.5561,0.4439
c:1667,94,0.6758,0.3242
c:2474,175,0.3226,0.6774
c:7821,105,0.7070000000000001,0.293
c:11586891,40,0.9699,0.0301
c:60600,42,0.8861,0.1139
c:28211,53,0.551,0.449
c:14477,170,0.4253,0.5747
c:65257,116,0.551,0.449
c:74447,42,0.191,0.809
c:16184,62,0.3401,0.6599
c:24690,253,0.1548,0.8452
c:33570400,18,0.0873,0.9127
c:19310,64,0.7376,0.2624
c:35605584,317,0.4349,0.5651
c:35605131,38,0.0094,0.9906
c:27474127,82,0.8718,0.1282
c:32773961,195,0.1389,0.8611
c:52376,67,0.0627,0.9373
c:16572916,57,0.6643,0.3357
c:32974086,36,0.2803,0.7197
c:35603805,29,0.687,0.313
c:34354466,121,0.10099999999999999,0.899
c:8811,74,0.2676,0.7324
c:34987006,60,0.9631,0.0369
c:57394,57,0.5256,0.4744
c:35600930,2,0.207,0.7929999999999999
c:28342,115,0.07200000000000001,0.9279999999999999
c:10255,171,0.4058,0.5942
c:27093,387,0.9439,0.0561
c:14236,62,0.7751,0.2249
c:58597,36,0.7974,0.2026
c:34101096,22,0.9226,0.0774
c:1340,133,0.1718,0.8282
c:10255,171,0.9659,0.0341
c:35596996,21,0.9725,0.0275
c:35596596,189,0.9122,0.0878
c:43704,57,0.4934,0.5066
c:32643937,48,0.5894,0.4106
c:51794,168,0.9799,0.0201
c:35588516,12,0.2255,0.7745
c:80680,199,0.6102,0.3898
c:83121,35,0.9222,0.0778
c:35594084,81,0.7291,0.2709
c:33348067,169,0.2578,0.7422
c:6664,131,0.9541,0.0459
c:20870922,28,0.9753,0.0247
c:30466560,55,0.6055,0.3945
c:30334,58,0.9224,0.0776
c:35525403,304,0.10099999999999999,0.899
c:51365,57,0.1305,0.8695
c:27328,56,0.1865,0.8135
c:11168,167,0.046,0.9540000000000001
c:28584,84,0.8818,0.1182
c:33388564,168,0.6996,0.3004
c:44754,27,0.3815,0.6185
c:28114,72,0.08800000000000001,0.912
c:28420,55,0.885,0.115
c:64697,36,0.7899,0.2101
c:18092,62,0.9581,0.0419
c:1964,119,0.7239,0.2761
c:32164556,222,0.1183,0.8817
c:18092,62,0.9144,0.0856
c:13755,243,0.0583,0.9417
c:13755,243,0.3723,0.6277
c:13755,243,0.0773,0.9227
c:46619,200,0.1898,0.8102
c:26358,168,0.5396,0.4604
c:69930,219,0.4793,0.5207
c:18463,93,0.4795,0.5205
c:69340,54,0.8536,0.1464
c:33746176,17,0.0186,0.9814
c:71009,65,0.045,0.955
c:52452,188,0.10099999999999999,0.899
c:34984298,183,0.1016,0.8984
c:1340,133,0.3739,0.6261
c:5798,74,0.0284,0.9716
c:31218409,36,0.0228,0.9772
c:32620864,32,0.0944,0.9056
c:14806,61,0.8944,0.1056
c:24613,421,0.3918,0.6082
c:53406,45,0.2053,0.7947
c:35587613,11,0.051,0.9490000000000001
c:55297,67,0.6082,0.3918
c:16336355,124,0.4983,0.5017
c:8728,208,0.6537,0.3463
c:9193,155,0.7225,0.2775
c:58047,45,0.193,0.807
c:22949,63,0.6947,0.3053
c:24689,239,0.7804,0.2196
c:35582912,48,0.0701,0.9299
c:16351590,275,0.4174,0.5826
c:35579237,9,0.5434,0.4566
c:69930,219,0.0069,0.9931
c:35578665,23,0.9640000000000001,0.036000000000000004
c:35578322,224,0.1934,0.8066
c:32969205,24,0.2615,0.7385
c:32944223,26,0.5362,0.4638
c:35577715,26,0.804,0.196
c:33849025,41,0.5474,0.4526
c:3230,78,0.1197,0.8803
c:24690,253,0.9926,0.0074
c:12870,116,0.5621,0.4379
c:50544,237,0.9741,0.0259
c:34987006,60,0.8519,0.1481
c:34659245,20,0.878,0.122
c:3698,117,0.3732,0.6268
c:157,89,0.5378,0.4622
c:34872316,79,0.7559,0.2441
c:34121558,24,0.727,0.273
c:35570038,36,0.1502,0.8498
c:1821,154,0.7892,0.2108
c:3230,78,0.4002,0.5998
c:1821,154,0.9464,0.0536
c:35568040,30,0.2406,0.7594
c:14954,244,0.0545,0.9455
c:24613,421,0.1666,0.8334
c:35567163,3,0.392,0.608
c:32846046,24,0.6664,0.3336
c:35488403,207,0.0467,0.9533
c:35395574,404,0.2378,0.7622
c:1821,154,0.3104,0.6896
c:14954,244,0.0371,0.9629
c:34891,44,0.22399999999999998,0.7759999999999999
c:35504929,30,0.22399999999999998,0.7759999999999999
c:35564688,24,0.0498,0.9502
c:17007,66,0.38299999999999995,0.617
c:32710141,86,0.5162,0.4838
c:34359131,20,0.2913,0.7087
c:72270,158,0.2191,0.7809
c:20595472,58,0.9365,0.0635
c:35559353,1,0.7667,0.2333
c:33065942,38,0.2991,0.7009
c:32526171,65,0.5992,0.4008
c:32589678,33,0.5572,0.4428
c:32568550,187,0.435,0.565
c:34978947,204,0.10099999999999999,0.899
c:24469,72,0.6436,0.3564
c:72650,40,0.4213,0.5787
c:4887,76,0.5306,0.4694
c:33066018,28,0.3966,0.6034
c:33388564,168,0.1173,0.8827
c:3230,78,0.4242,0.5758
c:79793,48,0.0963,0.9037
c:35551343,53,0.5094,0.4906
c:35354247,3,0.0607,0.9393
c:15285,176,0.8499,0.1501
c:34980535,11,0.7329,0.2671
c:35488659,19,0.2507,0.7493
c:35542520,97,0.7764,0.2236
c:34980535,11,0.9853,0.0147
c:35545469,47,0.2111,0.7889
c:6623,198,0.9407,0.0593
c:14481,63,0.5024,0.4976
c:22690,60,0.1825,0.8175
c:519,105,0.6502,0.3498
c:13755,243,0.1005,0.8995
c:3009,135,0.3147,0.6853
c:77478,67,0.1052,0.8948
c:35535838,47,0.3208,0.6792
c:51478,65,0.6105,0.3895
c:47161,189,0.9445,0.0555
c:35545469,47,0.1596,0.8404
c:35545319,15,0.4645,0.5355
c:3016,86,0.0278,0.9722
c:35545108,53,0.335,0.665
c:32507561,61,0.6465,0.3535
c:10553,64,0.2862,0.7138
c:32121571,168,0.1192,0.8808
c:44902,45,0.4369,0.5631
c:32247739,172,0.8129,0.1871
c:33388564,168,0.4161,0.5839
c:151,167,0.3106,0.6894
c:34125287,21,0.1757,0.8243
c:58,83,0.7355,0.2645
c:5241,87,0.8472,0.1528
c:29250,59,0.5228,0.4772
c:11351,69,0.0463,0.9537
c:35315105,6,0.3099,0.6901
c:22690,60,0.7932,0.2068
c:32316613,66,0.4134,0.5866
c:76762,55,0.2865,0.7135
c:11125,66,0.2574,0.7426
c:11697258,163,0.5833,0.4167
c:26765,181,0.6754,0.3246
c:39525,133,0.3375,0.6625
c:5769,101,0.1691,0.8309
c:35536188,10,0.261,0.7390000000000001
c:20595472,58,0.7573,0.2427
c:21412,56,0.5937,0.4063
c:24690,253,0.9049,0.0951
c:12870,116,0.3744,0.6256
c:72582,176,0.4706,0.5294
c:73495,60,0.7672,0.2328
c:35535838,47,0.146,0.8540000000000001
c:79793,48,0.073,0.927
c:35535822,8,0.4388,0.5612
c:33261921,21,0.9876,0.0124
c:28254,181,0.0031,0.9969
c:286,88,0.0792,0.9208
c:29250,59,0.7099,0.2901
c:34048160,93,0.7904,0.2096
c:22568,61,0.2299,0.7701
c:6054,263,0.1001,0.8999
c:53440,110,0.9144,0.0856
c:34048160,93,0.7733,0.2267
c:35532239,40,0.3268,0.6732
c:35531236,5,0.1562,0.8438
c:35528225,80,0.1098,0.8902
c:34232104,119,0.9153,0.0847
c:35528134,19,0.8207,0.1793
c:22690,60,0.5606,0.4394
c:77413,42,0.1175,0.8825
c:3414,307,0.0025,0.9975
c:9987,76,0.06,0.94
c:49818,228,0.591,0.409
c:34959518,75,0.9607,0.0393
c:32881323,21,0.7738,0.2262
c:33094918,26,0.9183,0.0817
c:34106411,29,0.8272,0.1728
c:35525540,7,0.8725,0.1275
c:58797,44,0.2932,0.7068
c:55080,96,0.1391,0.8609
c:31766,115,0.0672,0.9328
c:35525269,36,0.9681,0.0319
c:58773,41,0.7798,0.2202
c:31304085,456,0.0557,0.9443
c:35521716,22,0.7237,0.2763
c:53440,110,0.9923,0.0077
c:33377965,320,0.8315,0.1685
c:33382521,27,0.8578,0.1422
c:33603,50,0.9909,0.0091
c:33534,125,0.2871,0.7129
c:33415958,22,0.7552,0.2448
c:83868,30,0.1895,0.8105
c:33438618,31,0.6264,0.3736
c:35516832,10,0.4102,0.5898
c:35516816,33,0.7018,0.2982
c:34279576,35,0.1707,0.8293
c:30516,153,0.1846,0.8154
c:7821,105,0.9646,0.0354
c:7821,105,0.3561,0.6439
c:69930,219,0.5153,0.4847
c:79793,48,0.3666,0.6334
c:35415277,0,0.9501,0.0499
c:14236,62,0.1326,0.8674
c:34585732,15,0.0505,0.9495
c:34182,64,0.0238,0.9762
c:34585732,15,0.0185,0.9815
c:33877319,76,0.2858,0.7142
c:35514644,5,0.7471,0.2529
c:35513723,9,0.5733,0.4267
c:64103,64,0.4078,0.5922
c:30176,53,0.9441,0.0559
c:22038,56,0.1908,0.8092
c:55323,76,0.7448,0.2552
c:21263696,272,0.0669,0.9331
c:35511287,16,0.757,0.243
c:33468277,31,0.0432,0.9568
c:34722258,50,0.8531,0.1469
c:33468277,31,0.0157,0.9843
c:9308094,34,0.1778,0.8222
c:35510643,50,0.8131,0.1869
c:32640089,25,0.1834,0.8166
c:33232185,173,0.10099999999999999,0.899
c:34984078,139,0.10099999999999999,0.899
c:69949,109,0.9440000000000001,0.055999999999999994
c:27944,56,0.2618,0.7382
c:8676,191,0.3382,0.6618
c:34131530,51,0.2272,0.7728
c:35507285,18,0.792,0.20800000000000002
c:72584,79,0.6998,0.3002
c:20231520,81,0.1395,0.8605
c:35506468,35,0.6439,0.3561
c:81446,53,0.5479,0.4521
c:45051,77,0.7871,0.2129
c:35506183,108,0.1847,0.8153
c:34749923,85,0.3236,0.6764
c:34882238,56,0.6334,0.3666
c:79229,97,0.9559,0.0441
c:286,88,0.7715,0.2285
c:81155,201,0.8504,0.1496
c:5449,170,0.159,0.841
c:80970,109,0.8611,0.1389
c:35505346,35,0.5435,0.4565
c:16193,68,0.7898,0.2102
c:35445775,173,0.1025,0.8975
c:35469779,3,0.5345,0.4655
c:21663277,25,0.2633,0.7367
c:21663277,25,0.1253,0.8747
c:79563,45,0.7044,0.2956
c:30668522,84,0.0925,0.9075
c:5449,170,0.004,0.996
c:5449,170,0.1431,0.8569
c:81370,36,0.9214,0.0786
c:33276822,83,0.2433,0.7567
c:3749,76,0.8756,0.1244
c:8688,155,0.16699999999999998,0.833
c:5059,168,0.16699999999999998,0.833
c:56721,155,0.4635,0.5365
c:21663277,25,0.127,0.873
c:34454566,116,0.10099999999999999,0.899
c:32597015,33,0.8562,0.1438
c:35496321,78,0.6506,0.3494
c:1894,85,0.129,0.871
c:5449,170,0.003,0.997
c:35495135,30,0.0271,0.9729
c:35131,64,0.8247,0.1753
c:34658642,16,0.6139,0.3861
c:1964,119,0.38799999999999996,0.612
c:24690,253,0.9297,0.0703
c:33622130,24,0.746,0.254
c:74197,62,0.3099,0.6901
c:32796906,196,0.5504,0.4496
c:34110064,17,0.5354,0.4646
c:35488529,20,0.5629,0.4371
c:35488831,4,0.773,0.22699999999999998
c:35488659,19,0.342,0.6579999999999999
c:60077,45,0.4906,0.5094
c:35445652,147,0.10099999999999999,0.899
c:32495524,257,0.10099999999999999,0.899
c:74529,201,0.0735,0.9265
c:35368732,360,0.0616,0.9384
c:32127569,312,0.0036,0.9964
c:35488659,19,0.0906,0.9094
c:15961,274,0.0631,0.9369
c:33742649,84,0.5903,0.4097
c:14806,61,0.9038,0.0962
c:3151,105,0.5686,0.4314
c:5059,168,0.7731,0.2269
c:53440,110,0.153,0.847
c:40948,229,0.5284,0.4716
c:1862,98,0.8944,0.1056
c:24348,126,0.0636,0.9364
c:54602,64,0.8664,0.1336
c:27093,387,0.5935,0.4065
c:44766,184,0.9246,0.0754
